,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,Poste actuel
141,"['Project:', '- Talenteo is a native SIRH Cloud solution that covers all HRD management processes: recruitment, training, careers, missions, editing and sending CVs, co-ops, monitoring and evaluation of consultants. The platform is developed with Angular side Front-End and Spring Boot side Back-End.', '', 'Objective:', '- Automation of CI/CD channels to deploy a native SIRH Cloud solution called ""Talenteo"" on a cluster Kubernetes managed by Microsoft Azure (AKS) using Azure DevOps.', '', 'Tasks completed:', '* Configure a pipeline to supply an Azure infrastructure using Terraform (AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).', '* Three namespaces were set up on AKS (Dev, Int, Prod).', '* Deploy PostgreSQL in Statefulset on AKS using Helm and configure the schemas and users of the database.', '* Dockerize the Back-End side micro-services (Spring Boot) with Jib and use a dockerfile to containerize the Front-End part (Angular 9).', '* Template Kubernetes objects to deploy using Helm (Ingress, Deployments, Services, Secrets, TLS certificate).', '* Implement the automated CI/CD chain for each microservice (from GitLab --> Azure DevOps pipelines Build --> Azure DevOps pipelines Release --> AKS).', '* Ensure proper cost management on Azure (Kubecost).', '* Create Pull Requests for major changes made to existing files in GitLab rest (git).', '', 'Technical stack:', '- Ubuntu 20.04 LTS (Focal Fossa), Terraform (v0.12), Azure Cli, Kubernetes (v1.19.11), K9s, Helm (v3), Docker, Jib, Azure Portal, Azure DevOps, Azure Artifacts, maven, SonarQube, JaCoCo, Intellij IDE, VS Code, git, GitLab, AKS, Slack, Jira.']",Project:,"- Talenteo is a native SIRH Cloud solution that covers all HRD management processes: recruitment, training, careers, missions, editing and sending CVs, co-ops, monitoring and evaluation of consultants. The platform is developed with Angular side Front-End and Spring Boot side Back-End.",,Objective:,"- Automation of CI/CD channels to deploy a native SIRH Cloud solution called ""Talenteo"" on a cluster Kubernetes managed by Microsoft Azure (AKS) using Azure DevOps.",,Tasks completed:,"* Configure a pipeline to supply an Azure infrastructure using Terraform (AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).","* Three namespaces were set up on AKS (Dev, Int, Prod).",* Deploy PostgreSQL in Statefulset on AKS using Helm and configure the schemas and users of the database.,Cloud Engineer & DevOps
142,"['Head of Educational Unit ""Operating System""']","Head of Educational Unit ""Operating System""",,,,,,,,,,Teacher
143,['unckown'],unckown,,,,,,,,,,Trainee
144,['Skills: Jenkins · Redmine · Gerrit · Git · Linux · Continuous integration and delivery (CI/CD) · CentOS'],Skills: Jenkins · Redmine · Gerrit · Git · Linux · Continuous integration and delivery (CI/CD) · CentOS,,,,,,,,,,Internal
145,['unckown'],unckown,,,,,,,,,,DevOps Engineer and Cloud Architect
146,['unckown'],unckown,,,,,,,,,,unckown
147,['Development of a Taxation Solution for CUCM'],Development of a Taxation Solution for CUCM,,,,,,,,,,Web developer
148,"['-Deploy applications using (Docker and HelmChart and Ubuntu)', '-Open pods with kubernets', '- use gitlab to ensure continuous integration', '- use of ArgoCD to ensure continuous delivery']",-Deploy applications using (Docker and HelmChart and Ubuntu),-Open pods with kubernets,- use gitlab to ensure continuous integration,- use of ArgoCD to ensure continuous delivery,,,,,,,Trainee
149,['unckown'],unckown,,,,,,,,,,DevOps engineer
150,['unckown'],unckown,,,,,,,,,,Sap Advanced Business Application Programming Developer
151,"['Modernisation of Kubernetes resources - Best Practices', 'Migration to a Highly Available and Secure GKE Cluster', 'Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...', 'Security stack: Certmanager, Letsencrypt...', 'Networking stack: Pomerium, Kubernetes Gateway API...']",Modernisation of Kubernetes resources - Best Practices,Migration to a Highly Available and Secure GKE Cluster,"Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...","Security stack: Certmanager, Letsencrypt...","Networking stack: Pomerium, Kubernetes Gateway API...",,,,,,DevOps Engineer
152,"['Working on the development and deployment of a micro service using', 'NestJS, Angular, MongoDB and Docker.']",Working on the development and deployment of a micro service using,"NestJS, Angular, MongoDB and Docker.",,,,,,,,,Web Development Internal
153,['unckown'],unckown,,,,,,,,,,Student
154,['unckown'],unckown,,,,,,,,,,unckown
155,['unckown'],unckown,,,,,,,,,,Trainee
156,"['Part of ORANGE GROUP', '', 'Roles: ', '', 'System and support engineer ', 'Infrastructure and technical architecture engineering ', 'Networking and security engineering ', '']",Part of ORANGE GROUP,,Roles: ,,System and support engineer ,Infrastructure and technical architecture engineering ,Networking and security engineering ,,,,Cloud computing Engineer
157,['unckown'],unckown,,,,,,,,,,Cloud Engineer
158,"['Deploying an Edge AI with Nvidia Triton Inference Server, Kubernetes, Jetson Mate (face detection,age gender classification )']","Deploying an Edge AI with Nvidia Triton Inference Server, Kubernetes, Jetson Mate (face detection,age gender classification )",,,,,,,,,,Internal Cloud
159,['Development of a website for the mobile virtual clothing test application'],Development of a website for the mobile virtual clothing test application,,,,,,,,,,Frontend Developer
160,['unckown'],unckown,,,,,,,,,,IT Support Engineer
161,"['Achievements/Tasks', '• create and manage a Kubernetes cluster', '• Set up Argo CD and exposes its service', '• Set up Kubernetes Dashboard and exposes its service', '• Set up Prometheus and exposes its service', '• Set up Grafana and exposes its service']",Achievements/Tasks,• create and manage a Kubernetes cluster,• Set up Argo CD and exposes its service,• Set up Kubernetes Dashboard and exposes its service,• Set up Prometheus and exposes its service,• Set up Grafana and exposes its service,,,,,Infrastructure Engineer
162,"['- Support and troubleshooting on the wireless and switching range of Fortinet products', '- Maintaining customer relations via phone or in person with various customers', '- Installation/configuration/roubleshooting/testing of Thales proprietary applications', ""- Prepare upgrade plans for the customer's systems."", '- Administering the cloud platform (Microsoft Azure) including IaaS,', '- Administering Office 365']",- Support and troubleshooting on the wireless and switching range of Fortinet products,- Maintaining customer relations via phone or in person with various customers,- Installation/configuration/roubleshooting/testing of Thales proprietary applications,- Prepare upgrade plans for the customer's systems.,"- Administering the cloud platform (Microsoft Azure) including IaaS,",- Administering Office 365,,,,,IT support & cloud computing
163,['Skills : Computer repairs · Computer networks'],Skills : Computer repairs · Computer networks,,,,,,,,,,Computer Technician
164,['unckown'],unckown,,,,,,,,,,Student
165,['unckown'],unckown,,,,,,,,,,unckown
166,"['developed modern dashboard ', '(MEAN Stack)']",developed modern dashboard ,(MEAN Stack),,,,,,,,,Web Developer
167,['unckown'],unckown,,,,,,,,,,Student
168,['Automatic processing of CVs and profiles with Big Data (cv library)'],Automatic processing of CVs and profiles with Big Data (cv library),,,,,,,,,,Data Analyst 
169,['unckown'],unckown,,,,,,,,,,Trainee
170,"['Providing Cloud, Data and Architecture expertise to make innovation-drive structures three. Working with an innovative, a Cyber-Security Startup(Stealth mode), an innovative service provider for the Oil and Gas industry, a leader in network quality enforcement, a major bank, major markets, innovative document management specialized startup in the US, Oman, the Uk, France, Germany, and Tunisia']","Providing Cloud, Data and Architecture expertise to make innovation-drive structures three. Working with an innovative, a Cyber-Security Startup(Stealth mode), an innovative service provider for the Oil and Gas industry, a leader in network quality enforcement, a major bank, major markets, innovative document management specialized startup in the US, Oman, the Uk, France, Germany, and Tunisia",,,,,,,,,,Senior Software Craftsman and Cloud Architect
171,['unckown'],unckown,,,,,,,,,,unckown
172,['Implementation of a web application for the qualification of cloud providers in tunisia.'],Implementation of a web application for the qualification of cloud providers in tunisia.,,,,,,,,,,Engineering course
173,['Skills : Amazon EC2 · Amazon EKS · Terraform · terragrunt · Gitlab'],Skills : Amazon EC2 · Amazon EKS · Terraform · terragrunt · Gitlab,,,,,,,,,,End of study internship
174,['unckown'],unckown,,,,,,,,,,Cloud engineer and devops
175,['unckown'],unckown,,,,,,,,,,Computer Science Student
176,"['OCR Web service that detects, classifies the object and extracts data from formal documents in french and arabic']","OCR Web service that detects, classifies the object and extracts data from formal documents in french and arabic",,,,,,,,,,Data Scientist Internal
177,['unckown'],unckown,,,,,,,,,,Student
178,['Skills: Transport Layer Security (TLS) · Data Analysis · Python (Programming Language) · Machine Learning'],Skills: Transport Layer Security (TLS) · Data Analysis · Python (Programming Language) · Machine Learning,,,,,,,,,,Data Science Internal
179,['unckown'],unckown,,,,,,,,,,AI Engineer Internal 
180,['unckown'],unckown,,,,,,,,,,Data Scientist
181,['unckown'],unckown,,,,,,,,,,unckown
182,"['This project consists in setting up a Decisional Information System (DIS) which designs all the means, tools and methods which allow the company to collect, reinforce, store, aggregate and restore important data in order to provide a real decision support.', '', '-Skills and technology:', 'Python(machine learning),Talend (ETL), postgreSQL, PowerBi,Angular,Spring boot']","This project consists in setting up a Decisional Information System (DIS) which designs all the means, tools and methods which allow the company to collect, reinforce, store, aggregate and restore important data in order to provide a real decision support.",,-Skills and technology:,"Python(machine learning),Talend (ETL), postgreSQL, PowerBi,Angular,Spring boot",,,,,,,Internal
183,['unckown'],unckown,,,,,,,,,,Student
184,['unckown'],unckown,,,,,,,,,,Data Science Internal
185,['unckown'],unckown,,,,,,,,,,Junior Data Scientist
186,"['Processing leads signal in order to automate ECG Classifying :', '- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Exploratory Data Analysis: extract the metadata from ECG images using EasyOCR and Keras, other patients information and have an idea about the ECG disease distribution.', '- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Image processing : cropping each ECG image to 12 leads, process each signal of lead using Gaussan, threeshold_otsu, MinMaxScaler and OpenCv,Skimage in order to save it as csv file.', '- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Create a classification base model using ANN, CNN and RNN deep learning algorithms.', '- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Hyperparameter tuning using keras tuner and optuna in order to improve model accuracy and lower model loss.']",Processing leads signal in order to automate ECG Classifying :,"- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Exploratory Data Analysis: extract the metadata from ECG images using EasyOCR and Keras, other patients information and have an idea about the ECG disease distribution.","- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Image processing : cropping each ECG image to 12 leads, process each signal of lead using Gaussan, threeshold_otsu, MinMaxScaler and OpenCv,Skimage in order to save it as csv file.","- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Create a classification base model using ANN, CNN and RNN deep learning algorithms.","- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Hyperparameter tuning using keras tuner and optuna in order to improve model accuracy and lower model loss.",,,,,,AI Engineer
